time,o_open,o_high,o_low,o_close,o_volume
2024-05-17 07:00:00,65955.0,66516.7,65955.0,66403.9,799265.0
2024-05-17 08:00:00,66404.0,66504.7,66063.2,66156.8,345953.0
2024-05-17 09:00:00,66147.4,66392.2,66070.4,66348.8,155210.0
2024-05-17 10:00:00,66348.8,66530.3,66175.8,66490.5,245958.0
2024-05-17 11:00:00,66490.4,66564.0,66174.8,66175.0,258798.0
2024-05-17 12:00:00,66175.0,66535.4,66101.9,66363.2,344794.0
2024-05-17 13:00:00,66363.2,66449.3,65803.4,65937.0,573412.0
2024-05-17 14:00:00,65937.1,66863.7,65916.9,66806.6,591181.0
2024-05-17 15:00:00,66806.5,67447.9,66540.0,67188.0,1231489.0
2024-05-17 16:00:00,67193.4,67290.2,66887.7,66909.9,295699.0
2024-05-17 17:00:00,66909.8,66987.7,66649.6,66695.9,306295.0
2024-05-17 18:00:00,66695.8,66841.5,66205.0,66813.0,728750.0
2024-05-17 19:00:00,66813.0,67058.0,66635.0,67024.3,243961.0
2024-05-17 20:00:00,67034.9,67034.9,66750.1,66876.6,130033.0
2024-05-17 21:00:00,66876.7,66905.0,66718.9,66806.7,64596.0
2024-05-17 22:00:00,66806.7,66806.7,66651.0,66764.8,122531.0
2024-05-17 23:00:00,66764.8,67048.2,66692.5,67006.7,147055.0
2024-05-18 00:00:00,67006.7,67080.1,66727.2,66888.1,209018.0
2024-05-18 01:00:00,66888.1,67018.8,66764.2,66966.1,111704.0
2024-05-18 02:00:00,66966.0,67058.0,66804.2,66910.7,119754.0
2024-05-18 03:00:00,66910.7,67007.8,66853.7,66946.3,88520.0
2024-05-18 04:00:00,66946.3,66997.7,66784.1,66882.5,83298.0
2024-05-18 05:00:00,66882.5,66890.5,66810.7,66858.0,45319.0
2024-05-18 06:00:00,66858.1,66947.2,66725.1,66917.0,61885.0
2024-05-18 07:00:00,66916.9,67255.6,66820.0,66882.3,226825.0
2024-05-18 08:00:00,66882.2,67093.8,66835.3,67016.2,74210.0
2024-05-18 09:00:00,67016.2,67138.4,66995.1,67120.8,112564.0
2024-05-18 10:00:00,67120.9,67296.5,67038.5,67200.5,242473.0
2024-05-18 11:00:00,67200.5,67360.0,67100.1,67187.0,174710.0
2024-05-18 12:00:00,67192.1,67228.2,66881.4,66931.0,141741.0
2024-05-18 13:00:00,66934.9,67066.9,66769.4,66867.4,196793.0
2024-05-18 14:00:00,66853.7,67031.7,66587.7,66779.9,310101.0
2024-05-18 15:00:00,66780.0,66878.8,66577.0,66815.0,205894.0
2024-05-18 16:00:00,66804.4,66996.5,66710.0,66878.3,114752.0
2024-05-18 17:00:00,66878.4,66963.2,66740.4,66854.6,87251.0
2024-05-18 18:00:00,66854.6,66905.4,66780.0,66784.3,43810.0
2024-05-18 19:00:00,66784.4,66943.7,66764.1,66906.9,34356.0
2024-05-18 20:00:00,66902.4,67016.1,66874.6,66961.3,77993.0
2024-05-18 21:00:00,66961.3,66981.0,66784.8,66900.0,50522.0
2024-05-18 22:00:00,66899.9,66997.4,66822.2,66923.7,78657.0
2024-05-18 23:00:00,66923.7,67034.4,66891.1,66903.2,55557.0
2024-05-19 00:00:00,66903.3,66974.7,66832.0,66902.1,30728.0
2024-05-19 01:00:00,66902.1,66970.7,66873.4,66910.2,56066.0
2024-05-19 02:00:00,66910.3,67200.0,66910.3,67188.4,123952.0
2024-05-19 03:00:00,67188.4,67292.4,67076.0,67151.0,135628.0
2024-05-19 04:00:00,67151.1,67165.3,66980.2,67146.5,55320.0
2024-05-19 05:00:00,67146.6,67156.0,67076.3,67083.9,56495.0
2024-05-19 06:00:00,67083.9,67143.3,66918.6,67012.9,76643.0
2024-05-19 07:00:00,67013.0,67323.3,66973.0,67311.1,119564.0
2024-05-19 08:00:00,67311.1,67335.0,67087.5,67148.8,97157.0
2024-05-19 09:00:00,67148.8,67188.6,66978.3,67178.2,69581.0
2024-05-19 10:00:00,67178.2,67751.8,67108.4,67277.3,578164.0
2024-05-19 11:00:00,67275.2,67382.0,66963.1,67332.1,333013.0
